lon,lat,mag,time_string,depth,catalog_id,event_id
-117.5155,35.6776667,3.54,2019-07-16T20:15:59.020000,7.59,,ci37421757
-117.884,36.116,4.37,2019-07-17T02:29:07.380000,5.3,,ci38585023
-117.461,35.6498333,3.61,2019-07-17T19:42:15.130000,2.69,,ci38590903
-117.8385,36.1156667,3.87,2019-07-17T21:49:19.150000,2.39,,ci38591583
-117.8875,36.113,4.64,2019-07-18T03:59:14.720000,1.56,,ci38593535
-117.6243333,35.7841667,3.65,2019-07-18T21:46:37.630000,5.76,,ci38599327
-117.3576667,35.585,3.65,2019-07-19T10:47:05.410000,4.56,,ci38603223
-117.4948333,35.7151667,3.51,2019-07-19T16:16:58.420000,4.62,,ci38605023
-117.6843333,35.8828333,3.67,2019-07-20T02:38:43.360000,5.15,,ci38607695
-117.7071667,35.874,3.54,2019-07-20T18:49:58.450000,9.17,,ci38612295
-117.5565,35.7455,3.88,2019-07-23T01:36:18.450000,6.07,,ci38627095
-117.4266667,35.625,4.15,2019-07-23T07:45:02.530000,5.51,,ci38628799
-117.7126667,35.8893333,3.65,2019-07-23T23:45:48.160000,9.09,,ci38632759
-117.6045,35.607,3.75,2019-07-24T14:35:18.550000,3.1,,ci38636511
-117.7066667,35.9258333,4.74,2019-07-26T00:42:47.770000,3.79,,ci38644943
-117.6955,35.9351667,3.52,2019-07-26T00:45:34.040000,2.81,,ci38644983
-117.3666667,35.5338333,3.56,2019-07-27T01:35:37.530000,9.07,,ci38652167
-117.474,35.637,3.91,2019-07-27T10:30:54.410000,1.9,,ci38653975
-117.6346667,35.8228333,3.53,2019-07-29T23:19:14.160000,5.84,,ci38668511
-117.5063333,35.6666667,3.5,2019-07-30T16:30:56.350000,10.24,,ci38672303
-117.6755,35.8941667,3.57,2019-08-14T09:34:19.960000,4.53,,ci38966824
-117.6755,35.8933333,3.75,2019-08-14T21:04:11.030000,3.92,,ci38969080
-117.8628333,36.0805,3.51,2019-08-14T22:52:26.650000,2.27,,ci38969336
-117.8606667,36.077,3.92,2019-08-15T11:50:24.980000,2.44,,ci38971232
-117.4676667,35.6703333,3.54,2019-08-19T00:09:12.940000,9.5,,ci38983016
-117.709,35.9076667,4.89,2019-08-22T20:49:50.180000,4.93,,ci38996632
-117.7005,35.8881667,3.57,2019-08-22T21:11:07.530000,8.11,,ci38996840
-117.7046667,35.9078333,4.33,2019-08-23T05:34:09.740000,7.14,,ci38999296
-117.4148333,35.5806667,3.59,2019-09-08T14:07:23.350000,5.18,,ci38819223
